energy,total.dn,total.up,Mn.s.up,Mn.s.dn,Mn.p.up,Mn.p.dn,Mn.d.up,Mn.d.dn,Li.s.up,Li.s.dn,Li.p.up,Li.p.dn,Li.d.up,Li.d.dn,Si.s.up,Si.s.dn,Si.p.up,Si.p.dn,Si.d.up,Si.d.dn,Li.t2g.up,Li.t2g.dn,Li.e_g.up,Li.e_g.dn,Mn.t2g.up,Mn.t2g.dn,Mn.e_g.up,Mn.e_g.dn,Si.t2g.up,Si.t2g.dn,Si.e_g.up,Si.e_g.dn
+21.3388,7.962e-01,6.745e-01,1.010e-02,1.660e-02,3.770e-02,3.480e-02,7.790e-02,8.360e-02,1.090e-02,1.310e-02,1.950e-02,2.340e-02,0.000e+00,0.000e+00,4.900e-03,6.700e-03,2.820e-02,2.480e-02,9.580e-02,9.840e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,4.760e-02,5.400e-02,3.030e-02,2.960e-02,6.930e-02,7.370e-02,2.650e-02,2.470e-02
+21.3767,8.198e-01,7.042e-01,1.020e-02,1.570e-02,3.970e-02,3.480e-02,8.100e-02,8.560e-02,1.130e-02,1.270e-02,2.000e-02,2.250e-02,0.000e+00,0.000e+00,5.000e-03,6.100e-03,3.050e-02,2.620e-02,1.022e-01,9.820e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,4.820e-02,5.490e-02,3.280e-02,3.070e-02,7.340e-02,7.200e-02,2.880e-02,2.620e-02
+21.4146,7.968e-01,7.601e-01,1.040e-02,1.540e-02,4.310e-02,3.450e-02,8.740e-02,8.250e-02,1.190e-02,1.250e-02,2.130e-02,2.170e-02,0.000e+00,0.000e+00,5.200e-03,5.500e-03,3.420e-02,2.620e-02,1.139e-01,9.570e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.040e-02,5.300e-02,3.700e-02,2.950e-02,8.130e-02,7.040e-02,3.260e-02,2.530e-02
+21.4525,7.684e-01,7.795e-01,1.050e-02,1.490e-02,4.490e-02,3.420e-02,8.900e-02,7.840e-02,1.220e-02,1.210e-02,2.170e-02,2.110e-02,0.000e+00,0.000e+00,5.300e-03,5.100e-03,3.560e-02,2.630e-02,1.183e-01,9.370e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.050e-02,5.040e-02,3.850e-02,2.800e-02,8.430e-02,6.940e-02,3.400e-02,2.430e-02
+21.4904,7.196e-01,8.072e-01,1.090e-02,1.420e-02,4.750e-02,3.300e-02,9.190e-02,7.220e-02,1.260e-02,1.160e-02,2.230e-02,1.980e-02,0.000e+00,0.000e+00,5.600e-03,4.900e-03,3.730e-02,2.490e-02,1.238e-01,8.940e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.140e-02,4.630e-02,4.050e-02,2.590e-02,8.810e-02,6.660e-02,3.570e-02,2.280e-02
+21.5283,6.980e-01,8.487e-01,1.140e-02,1.360e-02,5.110e-02,3.280e-02,9.650e-02,6.980e-02,1.320e-02,1.130e-02,2.310e-02,1.920e-02,0.000e+00,0.000e+00,5.800e-03,4.900e-03,3.980e-02,2.540e-02,1.325e-01,8.910e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.300e-02,4.450e-02,4.350e-02,2.530e-02,9.400e-02,6.640e-02,3.850e-02,2.270e-02
+21.5662,6.856e-01,8.596e-01,1.160e-02,1.290e-02,5.370e-02,3.280e-02,9.590e-02,6.870e-02,1.400e-02,1.110e-02,2.350e-02,1.870e-02,0.000e+00,0.000e+00,5.800e-03,4.900e-03,4.120e-02,2.600e-02,1.346e-01,9.060e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.280e-02,4.330e-02,4.310e-02,2.540e-02,9.510e-02,6.710e-02,3.950e-02,2.350e-02
+21.6041,6.954e-01,8.790e-01,1.210e-02,1.230e-02,5.640e-02,3.340e-02,9.610e-02,6.940e-02,1.520e-02,1.100e-02,2.420e-02,1.870e-02,0.000e+00,0.000e+00,5.800e-03,4.900e-03,4.380e-02,2.750e-02,1.368e-01,9.400e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.260e-02,4.290e-02,4.350e-02,2.650e-02,9.630e-02,6.910e-02,4.050e-02,2.490e-02
+21.6420,7.264e-01,8.847e-01,1.220e-02,1.200e-02,5.880e-02,3.470e-02,9.480e-02,7.200e-02,1.610e-02,1.120e-02,2.470e-02,1.930e-02,0.000e+00,0.000e+00,5.600e-03,5.000e-03,4.460e-02,2.950e-02,1.373e-01,1.002e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.170e-02,4.350e-02,4.310e-02,2.850e-02,9.660e-02,7.310e-02,4.070e-02,2.710e-02
+21.6799,7.775e-01,8.704e-01,1.190e-02,1.220e-02,6.000e-02,3.850e-02,9.180e-02,7.600e-02,1.640e-02,1.140e-02,2.450e-02,2.000e-02,0.000e+00,0.000e+00,5.300e-03,5.300e-03,4.400e-02,3.300e-02,1.354e-01,1.108e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,4.990e-02,4.380e-02,4.190e-02,3.220e-02,9.530e-02,7.950e-02,4.010e-02,3.130e-02
+21.7178,8.232e-01,8.307e-01,1.110e-02,1.250e-02,5.910e-02,4.210e-02,8.650e-02,8.000e-02,1.600e-02,1.160e-02,2.350e-02,2.070e-02,0.000e+00,0.000e+00,4.900e-03,5.600e-03,4.180e-02,3.670e-02,1.302e-01,1.207e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,4.710e-02,4.440e-02,3.940e-02,3.560e-02,9.170e-02,8.560e-02,3.850e-02,3.510e-02
