energy,total.dn,total.up,Mn.s.up,Mn.s.dn,Mn.p.up,Mn.p.dn,Mn.d.up,Mn.d.dn,Li.s.up,Li.s.dn,Li.p.up,Li.p.dn,Li.d.up,Li.d.dn,Sb.s.up,Sb.s.dn,Sb.p.up,Sb.p.dn,Sb.d.up,Sb.d.dn
 +4.4332,1.302e+00,1.611e+00,2.900e-02,3.970e-02,7.250e-02,2.990e-02,5.750e-02,1.230e-01,8.350e-02,9.980e-02,1.843e-01,1.337e-01,0.000e+00,0.000e+00,6.720e-02,6.100e-02,9.400e-02,5.900e-02,1.736e-01,1.311e-01
 +4.4523,1.170e+00,1.507e+00,2.730e-02,3.420e-02,6.930e-02,2.670e-02,5.320e-02,1.107e-01,7.800e-02,9.430e-02,1.727e-01,1.189e-01,0.000e+00,0.000e+00,6.220e-02,5.180e-02,8.950e-02,4.670e-02,1.622e-01,1.211e-01
 +4.4714,1.111e+00,1.420e+00,2.540e-02,3.070e-02,6.660e-02,2.530e-02,4.920e-02,1.047e-01,7.210e-02,9.070e-02,1.635e-01,1.134e-01,0.000e+00,0.000e+00,5.850e-02,4.670e-02,8.580e-02,4.170e-02,1.525e-01,1.168e-01
 +4.4905,1.112e+00,1.316e+00,2.320e-02,2.930e-02,6.280e-02,2.550e-02,4.510e-02,1.029e-01,6.490e-02,8.950e-02,1.527e-01,1.151e-01,0.000e+00,0.000e+00,5.380e-02,4.530e-02,8.140e-02,4.160e-02,1.412e-01,1.181e-01
 +4.5097,1.175e+00,1.211e+00,2.090e-02,2.900e-02,5.900e-02,2.670e-02,4.090e-02,1.055e-01,5.730e-02,9.080e-02,1.420e-01,1.246e-01,0.000e+00,0.000e+00,4.890e-02,4.690e-02,7.630e-02,4.530e-02,1.301e-01,1.255e-01
 +4.5288,1.262e+00,1.118e+00,1.870e-02,2.890e-02,5.590e-02,2.900e-02,3.720e-02,1.095e-01,5.040e-02,9.180e-02,1.326e-01,1.378e-01,0.000e+00,0.000e+00,4.450e-02,4.990e-02,7.150e-02,5.160e-02,1.201e-01,1.353e-01
 +4.5479,1.342e+00,1.050e+00,1.700e-02,2.890e-02,5.340e-02,3.100e-02,3.420e-02,1.137e-01,4.560e-02,9.280e-02,1.264e-01,1.492e-01,0.000e+00,0.000e+00,4.110e-02,5.280e-02,6.740e-02,5.720e-02,1.129e-01,1.445e-01
 +4.5670,1.464e+00,9.658e-01,1.450e-02,2.920e-02,4.980e-02,3.460e-02,3.090e-02,1.207e-01,4.040e-02,9.520e-02,1.188e-01,1.667e-01,0.000e+00,0.000e+00,3.660e-02,5.820e-02,6.140e-02,6.500e-02,1.044e-01,1.574e-01
 +4.5861,1.591e+00,8.698e-01,1.310e-02,2.960e-02,4.480e-02,3.760e-02,2.780e-02,1.278e-01,3.510e-02,9.810e-02,1.089e-01,1.843e-01,0.000e+00,0.000e+00,3.050e-02,6.300e-02,5.310e-02,7.220e-02,9.540e-02,1.718e-01
 +4.6052,1.685e+00,7.890e-01,1.170e-02,2.970e-02,4.080e-02,4.000e-02,2.510e-02,1.343e-01,3.090e-02,9.940e-02,1.001e-01,1.987e-01,0.000e+00,0.000e+00,2.610e-02,6.620e-02,4.690e-02,7.850e-02,8.730e-02,1.821e-01
 +4.6244,1.757e+00,6.895e-01,1.000e-02,2.960e-02,3.520e-02,4.150e-02,2.180e-02,1.403e-01,2.610e-02,1.005e-01,8.870e-02,2.097e-01,0.000e+00,0.000e+00,2.160e-02,6.830e-02,3.990e-02,8.410e-02,7.730e-02,1.896e-01
 +4.6435,1.818e+00,5.999e-01,8.600e-03,3.030e-02,3.020e-02,4.210e-02,1.890e-02,1.452e-01,2.210e-02,1.039e-01,7.830e-02,2.173e-01,0.000e+00,0.000e+00,1.770e-02,6.750e-02,3.380e-02,8.870e-02,6.780e-02,1.974e-01
 +4.6626,1.848e+00,5.251e-01,7.600e-03,3.120e-02,2.630e-02,4.250e-02,1.630e-02,1.478e-01,1.890e-02,1.064e-01,6.960e-02,2.206e-01,0.000e+00,0.000e+00,1.510e-02,6.690e-02,2.960e-02,9.310e-02,5.960e-02,2.000e-01
 +4.6817,1.864e+00,4.593e-01,6.700e-03,3.190e-02,2.290e-02,4.270e-02,1.410e-02,1.492e-01,1.620e-02,1.081e-01,6.160e-02,2.227e-01,0.000e+00,0.000e+00,1.300e-02,6.630e-02,2.570e-02,9.600e-02,5.260e-02,2.010e-01
 +4.7008,1.864e+00,4.008e-01,6.000e-03,3.210e-02,1.940e-02,4.270e-02,1.210e-02,1.486e-01,1.410e-02,1.083e-01,5.430e-02,2.240e-01,0.000e+00,0.000e+00,1.100e-02,6.610e-02,2.240e-02,9.760e-02,4.610e-02,2.004e-01
 +4.7200,1.795e+00,3.503e-01,5.300e-03,3.150e-02,1.660e-02,4.140e-02,1.040e-02,1.412e-01,1.220e-02,1.049e-01,4.800e-02,2.161e-01,0.000e+00,0.000e+00,9.400e-03,6.350e-02,1.950e-02,9.610e-02,4.040e-02,1.928e-01
